Date,Pair,Open,High,Low,Close
1/24/2013 0:00,GBPUSD,1.58298,1.58506,1.57557,1.57894
1/25/2013 0:00,GBPUSD,1.57897,1.58265,1.57453,1.57955
1/28/2013 0:00,GBPUSD,1.57777,1.57852,1.56742,1.56901
1/29/2013 0:00,GBPUSD,1.56898,1.57732,1.56896,1.57568
1/30/2013 0:00,GBPUSD,1.57568,1.58151,1.57257,1.57945
1/31/2013 0:00,GBPUSD,1.57946,1.58748,1.57745,1.58587
2/1/2013 0:00,GBPUSD,1.58588,1.58782,1.56897,1.56913
2/4/2013 0:00,GBPUSD,1.57036,1.57713,1.56929,1.57498
2/5/2013 0:00,GBPUSD,1.57498,1.58039,1.56304,1.56602
2/6/2013 0:00,GBPUSD,1.56601,1.56776,1.56303,1.56626
2/7/2013 0:00,GBPUSD,1.56625,1.57674,1.56447,1.57132
2/8/2013 0:00,GBPUSD,1.57131,1.5843,1.57046,1.57969
2/11/2013 0:00,GBPUSD,1.57896,1.58094,1.56453,1.56481
2/12/2013 0:00,GBPUSD,1.5648,1.56826,1.55734,1.56777
2/13/2013 0:00,GBPUSD,1.56775,1.56884,1.55236,1.55372
2/14/2013 0:00,GBPUSD,1.55373,1.55423,1.54746,1.54943
2/15/2013 0:00,GBPUSD,1.54944,1.55494,1.54622,1.55162
2/18/2013 0:00,GBPUSD,1.5499,1.55076,1.54377,1.54687
2/19/2013 0:00,GBPUSD,1.54687,1.55035,1.54141,1.54214
2/20/2013 0:00,GBPUSD,1.54216,1.54501,1.51927,1.52365
2/21/2013 0:00,GBPUSD,1.52368,1.52731,1.51305,1.52512
2/22/2013 0:00,GBPUSD,1.52511,1.53192,1.51605,1.51605
2/25/2013 0:00,GBPUSD,1.51072,1.51978,1.50868,1.51628
2/26/2013 0:00,GBPUSD,1.51627,1.52183,1.51131,1.51289
2/27/2013 0:00,GBPUSD,1.5129,1.51876,1.50803,1.51601
2/28/2013 0:00,GBPUSD,1.51599,1.52216,1.51486,1.51669
3/1/2013 0:00,GBPUSD,1.51672,1.51853,1.49857,1.50365
3/4/2013 0:00,GBPUSD,1.50302,1.51162,1.5,1.5114
3/5/2013 0:00,GBPUSD,1.5114,1.51982,1.5094,1.51252
3/6/2013 0:00,GBPUSD,1.51254,1.51524,1.49659,1.49826
3/7/2013 0:00,GBPUSD,1.49824,1.50821,1.49673,1.50119
3/8/2013 0:00,GBPUSD,1.50118,1.50468,1.48864,1.49222
3/11/2013 0:00,GBPUSD,1.49077,1.49428,1.48657,1.49088
3/12/2013 0:00,GBPUSD,1.49086,1.49157,1.48287,1.48969
3/13/2013 0:00,GBPUSD,1.48971,1.49812,1.48921,1.49196
3/14/2013 0:00,GBPUSD,1.49196,1.51183,1.49148,1.50829
3/15/2013 0:00,GBPUSD,1.50828,1.51762,1.50683,1.51128
3/18/2013 0:00,GBPUSD,1.51099,1.51436,1.5071,1.50934
3/19/2013 0:00,GBPUSD,1.50933,1.51441,1.50729,1.5092
3/20/2013 0:00,GBPUSD,1.50919,1.51858,1.50267,1.50914
3/21/2013 0:00,GBPUSD,1.50915,1.52089,1.50878,1.5171
3/22/2013 0:00,GBPUSD,1.51714,1.52474,1.51714,1.52269
3/25/2013 0:00,GBPUSD,1.52344,1.52599,1.51433,1.51752
3/26/2013 0:00,GBPUSD,1.5175,1.5207,1.51351,1.51632
3/27/2013 0:00,GBPUSD,1.51631,1.5181,1.50925,1.51276
3/28/2013 0:00,GBPUSD,1.51275,1.52004,1.51118,1.51908
3/29/2013 0:00,GBPUSD,1.51907,1.52182,1.51771,1.51958
4/1/2013 0:00,GBPUSD,1.5197,1.52414,1.51774,1.52261
4/2/2013 0:00,GBPUSD,1.52261,1.52583,1.50987,1.51043
4/3/2013 0:00,GBPUSD,1.51041,1.5158,1.5075,1.5132
4/4/2013 0:00,GBPUSD,1.51319,1.52453,1.50332,1.5228
4/5/2013 0:00,GBPUSD,1.52285,1.5363,1.5199,1.53357
4/8/2013 0:00,GBPUSD,1.53294,1.53502,1.52386,1.52646
4/9/2013 0:00,GBPUSD,1.52646,1.53413,1.52499,1.53187
4/10/2013 0:00,GBPUSD,1.53187,1.53427,1.52924,1.53265
4/11/2013 0:00,GBPUSD,1.53265,1.54113,1.53171,1.5385
4/12/2013 0:00,GBPUSD,1.53845,1.54094,1.53372,1.53393
4/15/2013 0:00,GBPUSD,1.53381,1.53844,1.52698,1.52918
4/16/2013 0:00,GBPUSD,1.5292,1.53788,1.52725,1.53659
4/17/2013 0:00,GBPUSD,1.53659,1.53688,1.52164,1.52412
4/18/2013 0:00,GBPUSD,1.5241,1.53124,1.52177,1.52797
4/19/2013 0:00,GBPUSD,1.52796,1.53675,1.52239,1.52288
4/22/2013 0:00,GBPUSD,1.52311,1.52952,1.52035,1.52875
4/23/2013 0:00,GBPUSD,1.52869,1.52973,1.51963,1.52363
4/24/2013 0:00,GBPUSD,1.52362,1.52871,1.52261,1.52651
4/25/2013 0:00,GBPUSD,1.52652,1.548,1.52645,1.54341
4/26/2013 0:00,GBPUSD,1.54341,1.54984,1.54185,1.54746
4/29/2013 0:00,GBPUSD,1.54835,1.55456,1.54766,1.54932
4/30/2013 0:00,GBPUSD,1.54932,1.55673,1.54675,1.55351
5/1/2013 0:00,GBPUSD,1.55353,1.56051,1.55259,1.55541
5/2/2013 0:00,GBPUSD,1.55546,1.55904,1.54963,1.55324
5/3/2013 0:00,GBPUSD,1.55324,1.56014,1.54808,1.55683
5/6/2013 0:00,GBPUSD,1.55658,1.55976,1.55206,1.55393
5/7/2013 0:00,GBPUSD,1.55395,1.55518,1.54469,1.54811
5/8/2013 0:00,GBPUSD,1.54811,1.55911,1.54703,1.55407
5/9/2013 0:00,GBPUSD,1.55407,1.55875,1.54256,1.54473
5/10/2013 0:00,GBPUSD,1.54473,1.54571,1.53139,1.53579
5/13/2013 0:00,GBPUSD,1.53552,1.53845,1.52776,1.53021
5/14/2013 0:00,GBPUSD,1.53024,1.53306,1.52063,1.52179
5/15/2013 0:00,GBPUSD,1.52189,1.52727,1.51737,1.52252
5/16/2013 0:00,GBPUSD,1.52247,1.53223,1.51977,1.52735
5/17/2013 0:00,GBPUSD,1.52737,1.5281,1.5158,1.51666
5/20/2013 0:00,GBPUSD,1.5186,1.52807,1.51656,1.52575
5/21/2013 0:00,GBPUSD,1.52576,1.52761,1.51124,1.515
5/22/2013 0:00,GBPUSD,1.51504,1.51732,1.50196,1.50428
5/23/2013 0:00,GBPUSD,1.50428,1.51281,1.50138,1.51082
5/24/2013 0:00,GBPUSD,1.51078,1.51421,1.50636,1.51195
5/27/2013 0:00,GBPUSD,1.51295,1.51558,1.50868,1.51105
5/28/2013 0:00,GBPUSD,1.51098,1.51345,1.50268,1.50351
